
www.webscantest.com 69.164.223.208
www.mightyseek.com 104.238.100.57
www.manvswebapp.com 104.238.100.57

www.bbc.com 151.101.48.81
ichef.bbci.co.uk 23.79.221.181
dev.visualwebsiteoptimizer.com 169.54.251.164
www.shpa.com 50.63.124.1
p3nlhclust404.shr.prod.phx3.secureserver.net 72.167.191.65
www.webs.com 104.16.88.120
www.caida.org 192.172.226.123
detectportal.firefox.com 184.25.204.8
www.askyb.com 69.65.3.213x
fonts.googleapis.com 172.217.1.202
static.bbci.co.uk 23.1.135.220
btlr.sharethrough.com 52.54.40.143
cdn.optimizely.com 23.217.103.184
w88.go.com 172.82.210.16
ping.chartbeat.net 107.22.248.251
chartbeat.com 23.23.73.236
www.aljazeera.com 23.79.215.66
mtrx.go.sonobi.com 151.101.181.198
platform.twitter.com 72.21.91.66
arstechnica.com 50.31.169.131
www.theatlantic.com 192.33.31.82
www.berliner-zeitung.de 23.1.139.51
britishairways.com 163.166.156.201
www.britishairways.com 172.230.193.17
www.bloomberg.com 23.217.103.68
www.ap.org 13.32.179.123
www.aljazeera.net 8.253.103.94
a.abcnews.com 129.19.157.16
native.sharethrough.com 13.33.252.22
static.vilynx.com 13.33.252.63
fonts.abcnews.com 23.5.135.148
widgets.outbrain.com 23.209.178.31.194
umich.edu 141.211.243.251
grad.berkeley.edu 104.196.198.245
ajax.googleapis.com 172.217.12.10
googleads.g.doubleclick.net 172.217.2.2
www.geeksforgeeks.org 13.33.251.78
cdn.fancybar.net 23.111.10.144
pagead2.googlesyndication.com 172.217.1.66
script.crazyegg.com 13.33.255.140
